Teff_kK	M	O global	12log_O_global	Clobal	12log_C_global	N global	12log_N_global
50	1	0.000350	8.543853	0.000704	8.847880	0.000150	8.176273
50	2	0.000689	8.838163	0.001398	9.145661	0.000297	8.473213
50	3	0.001024	9.010361	0.002093	9.320870	0.000445	8.647954
50	5	0.001667	9.221824	0.003456	9.538550	0.000733	8.865294
50	10	0.003027	9.481074	0.006667	9.823951	0.001413	9.150204
50	20	0.002748	9.439029	0.009564	9.980645	0.002051	9.312070
50	30	0.002463	9.391440	0.008660	9.937509	0.001962	9.292599
50	100	0.002593	9.413824	0.010865	10.036028	0.002347	9.370484
60	1	0.000373	8.571788	0.000688	8.837872	0.000145	8.161544
60	2	0.000740	8.869504	0.001386	9.141817	0.000292	8.465574
60	3	0.001108	9.044686	0.002094	9.321027	0.000442	8.645120
60	5	0.001834	9.263479	0.003505	9.544712	0.000742	8.870261
60	10	0.003592	9.555314	0.006979	9.843781	0.001488	9.172706
60	20	0.005849	9.767075	0.012938	10.111884	0.002791	9.445768
60	30	0.004787	9.680078	0.012824	10.108018	0.002931	9.466977
60	100	0.004631	9.665693	0.014228	10.153133	0.003196	9.504666
70	1	0.000377	8.576735	0.000661	8.819970	0.000137	8.135180
70	2	0.000750	8.875239	0.001346	9.129118	0.000279	8.444914
70	3	0.001125	9.050990	0.002051	9.311996	0.000425	8.628678
70	5	0.001866	9.270961	0.003473	9.540678	0.000724	8.859726
70	10	0.003693	9.567403	0.007011	9.845786	0.001481	9.170587
70	20	0.006800	9.832515	0.013556	10.132120	0.002921	9.465488
70	30	0.006910	9.839495	0.016542	10.218583	0.003723	9.570853
70	100	0.005866	9.768370	0.016487	10.217134	0.003735	9.572318
80	1	0.000378	8.577464	0.000620	8.792396	0.000125	8.095252
80	2	0.000752	8.876436	0.001279	9.106787	0.000257	8.410566
80	3	0.001129	9.052840	0.001968	9.294123	0.000398	8.599524
80	5	0.001877	9.273528	0.003379	9.528769	0.000688	8.837622
80	10	0.003731	9.571842	0.006946	9.841751	0.001440	9.158406
80	20	0.007181	9.856194	0.013713	10.137129	0.002916	9.464799
80	30	0.009250	9.966147	0.019007	10.278921	0.004163	9.619359
80	100	0.007228	9.859003	0.018624	10.270072	0.004184	9.621609
90	1	0.000370	8.568595	0.000592	8.772255	0.000116	8.063240
90	2	0.000739	8.868893	0.001227	9.088764	0.000240	8.380952
90	3	0.001112	9.046189	0.001899	9.278429	0.000374	8.572468
90	5	0.001855	9.268360	0.003291	9.517291	0.000654	8.815381
90	10	0.003706	9.568923	0.006863	9.836543	0.001393	9.143945
90	20	0.007268	9.861389	0.013767	10.138828	0.002868	9.457612
90	30	0.010377	10.016065	0.019970	10.300385	0.004282	9.631614
90	100	0.008788	9.943871	0.021175	10.325828	0.004719	9.673834
100	1	0.000346	8.539020	0.000568	8.754417	0.000109	8.037928
100	2	0.000697	8.843448	0.001178	9.071316	0.000227	8.356042
100	3	0.001056	9.023556	0.001829	9.262203	0.000354	8.548410
100	5	0.001778	9.249954	0.003194	9.504305	0.000623	8.794524
100	10	0.003601	9.556403	0.006754	9.829574	0.001348	9.129532
100	20	0.007156	9.854670	0.013658	10.135381	0.002802	9.447490
100	30	0.010441	10.018759	0.019974	10.300457	0.004219	9.625237
100	100	0.009418	9.973953	0.022414	10.350521	0.004891	9.689433
110	1	0.000351	8.545456	0.000558	8.746953	0.000106	8.025228
110	2	0.000706	8.848841	0.001160	9.064335	0.000221	8.343873
110	3	0.001067	9.028171	0.001801	9.255538	0.000344	8.536419
110	5	0.001793	9.253485	0.003157	9.499250	0.000609	8.784341
110	10	0.003623	9.559029	0.006716	9.827138	0.001328	9.123268
110	20	0.007183	9.856291	0.013655	10.135280	0.002772	9.442866
110	30	0.010595	10.025082	0.020067	10.302489	0.004205	9.623719
110	100	0.010118	10.005090	0.023675	10.374295	0.005157	9.712398
