Teff_kK	M	O global	12log_O_global	Clobal	12log_C_global	N global	12log_N_global
50	1	0.000349	8.543184	0.000705	8.848160	0.000150	8.176853
50	2	0.000690	8.838659	0.001401	9.146384	0.000298	8.474535
50	3	0.001025	9.010728	0.002097	9.321611	0.000446	8.649327
50	5	0.001652	9.217932	0.003451	9.537923	0.000732	8.864489
50	10	0.002828	9.451436	0.006509	9.813516	0.001374	9.137963
50	20	0.002495	9.397153	0.008322	9.920240	0.001816	9.259067
50	30	0.002528	9.402694	0.008546	9.931741	0.001941	9.288083
50	100	0.003749	9.573898	0.015476	10.189650	0.003370	9.527664
60	1	0.000375	8.574237	0.000691	8.839726	0.000146	8.165505
60	2	0.000745	8.872216	0.001392	9.143760	0.000295	8.469380
60	3	0.001115	9.047155	0.002104	9.323007	0.000445	8.648836
60	5	0.001839	9.264473	0.003517	9.546149	0.000746	8.872610
60	10	0.003550	9.550280	0.006950	9.842002	0.001481	9.170643
60	20	0.004845	9.685294	0.011669	10.067026	0.002545	9.405694
60	30	0.004437	9.647098	0.011244	10.050909	0.002604	9.415625
60	100	0.006582	9.818339	0.019859	10.297960	0.004511	9.654256
70	1	0.000380	8.580244	0.000665	8.822954	0.000138	8.141321
70	2	0.000756	8.878661	0.001356	9.132175	0.000282	8.450907
70	3	0.001134	9.054557	0.002067	9.315350	0.000432	8.635062
70	5	0.001875	9.273019	0.003491	9.542939	0.000732	8.864321
70	10	0.003674	9.565139	0.007007	9.845505	0.001481	9.170659
70	20	0.006243	9.795376	0.013084	10.116752	0.002818	9.449970
70	30	0.005723	9.757594	0.013297	10.123744	0.003076	9.487978
70	100	0.008514	9.930158	0.022611	10.354320	0.005185	9.714721
80	1	0.000382	8.581909	0.000626	8.796845	0.000127	8.104204
80	2	0.000760	8.880732	0.001294	9.111822	0.000263	8.419810
80	3	0.001139	9.056483	0.001990	9.298921	0.000406	8.608146
80	5	0.001890	9.276449	0.003414	9.533213	0.000701	8.845632
80	10	0.003727	9.571306	0.006957	9.842439	0.001447	9.160556
80	20	0.006923	9.840273	0.013443	10.128486	0.002862	9.456704
80	30	0.007251	9.860424	0.015235	10.182853	0.003480	9.541622
80	100	0.010381	10.016247	0.024504	10.389243	0.005591	9.747478
90	1	0.000374	8.572692	0.000602	8.779328	0.000119	8.076552
90	2	0.000747	8.873199	0.001249	9.096719	0.000248	8.394838
90	3	0.001122	9.050010	0.001931	9.285891	0.000385	8.585366
90	5	0.001868	9.271273	0.003332	9.522769	0.000669	8.825544
90	10	0.003711	9.569471	0.006880	9.837563	0.001404	9.147507
90	20	0.007142	9.853803	0.013594	10.133355	0.002838	9.453031
90	30	0.009156	9.961701	0.018054	10.256578	0.003969	9.598691
90	100	0.012330	10.090968	0.026940	10.430395	0.006110	9.786073
100	1	0.000346	8.539279	0.000576	8.760270	0.000112	8.051093
100	2	0.000701	8.845667	0.001199	9.078920	0.000235	8.370598
100	3	0.001062	9.026139	0.001862	9.269930	0.000365	8.562775
100	5	0.001788	9.252417	0.003241	9.510625	0.000641	8.806586
100	10	0.003604	9.556825	0.006786	9.831609	0.001363	9.134620
100	20	0.007069	9.849359	0.013454	10.128843	0.002785	9.444854
100	30	0.009489	9.977223	0.018188	10.259795	0.003973	9.599155
100	100	0.012861	10.109267	0.027326	10.436569	0.006110	9.786042
110	1	0.000353	8.548120	0.000567	8.753294	0.000110	8.039625
110	2	0.000714	8.853877	0.001181	9.072352	0.000229	8.359746
110	3	0.001078	9.032646	0.001840	9.264810	0.000357	8.553246
110	5	0.001812	9.258239	0.003196	9.504551	0.000628	8.797806
110	10	0.003635	9.560504	0.006755	9.829606	0.001347	9.129359
110	20	0.007104	9.851522	0.013470	10.129378	0.002755	9.440089
110	30	0.009898	9.995543	0.018735	10.272646	0.004019	9.604079
110	100	0.013719	10.137312	0.028446	10.454014	0.006350	9.802741
