Teff_kK	M	O global	12log_O_global	Clobal	12log_C_global	N global	12log_N_global
50	1	0.000397	8.598557	0.000736	8.866779	0.000168	8.225141
50	2	0.000782	8.893351	0.001463	9.165165	0.000333	8.522563
50	3	0.001182	9.072688	0.002202	9.342727	0.000504	8.702191
50	5	0.001961	9.292488	0.003663	9.563860	0.000840	8.924502
50	10	0.003739	9.572812	0.007223	9.858699	0.001654	9.218437
50	20	0.004382	9.641694	0.013636	10.134702	0.003046	9.483680
50	30	0.003325	9.521739	0.013803	10.139963	0.003013	9.479007
50	100	0.003152	9.498585	0.013365	10.125955	0.002886	9.460306
60	1	0.000419	8.622241	0.000710	8.851338	0.000161	8.207002
60	2	0.000834	8.921315	0.001434	9.156604	0.000325	8.512494
60	3	0.001255	9.098485	0.002173	9.337030	0.000494	8.693813
60	5	0.002085	9.319045	0.003654	9.562753	0.000833	8.920828
60	10	0.004139	9.616892	0.007352	9.866407	0.001689	9.227522
60	20	0.007823	9.893377	0.014483	10.160865	0.003348	9.524733
60	30	0.008633	9.936137	0.020866	10.319445	0.004804	9.681626
60	100	0.005813	9.764411	0.018181	10.259627	0.004090	9.611751
70	1	0.000424	8.627274	0.000674	8.828460	0.000151	8.177666
70	2	0.000846	8.927194	0.001378	9.139378	0.000308	8.488974
70	3	0.001269	9.103571	0.002107	9.323600	0.000472	8.673934
70	5	0.002117	9.325808	0.003589	9.555023	0.000809	8.907761
70	10	0.004219	9.625163	0.007333	9.865296	0.001670	9.222783
70	20	0.008221	9.914932	0.014630	10.165244	0.003373	9.528024
70	30	0.011614	10.064989	0.021715	10.336768	0.005045	9.702866
70	100	0.007513	9.875827	0.021669	10.335830	0.004923	9.692246
80	1	0.000426	8.628966	0.000623	8.794364	0.000137	8.135393
80	2	0.000851	8.929685	0.001289	9.110187	0.000283	8.451359
80	3	0.001278	9.106554	0.001997	9.300292	0.000439	8.642291
80	5	0.002131	9.328541	0.003457	9.538739	0.000765	8.883394
80	10	0.004255	9.628888	0.007225	9.858863	0.001622	9.210140
80	20	0.008397	9.924117	0.014618	10.164900	0.003342	9.524029
80	30	0.012406	10.093642	0.021940	10.341241	0.005072	9.705157
80	100	0.009314	9.969143	0.024731	10.393239	0.005586	9.747136
90	1	0.000418	8.620877	0.000588	8.769205	0.000127	8.102798
90	2	0.000837	8.922672	0.001223	9.087284	0.000264	8.420850
90	3	0.001260	9.100350	0.001907	9.280374	0.000411	8.614290
90	5	0.002107	9.323631	0.003341	9.523860	0.000725	8.860336
90	10	0.004226	9.625899	0.007109	9.851802	0.001570	9.195899
90	20	0.008414	9.925009	0.014587	10.163959	0.003292	9.517486
90	30	0.012606	10.100591	0.022008	10.342574	0.005037	9.702204
90	100	0.011819	10.072593	0.029631	10.471749	0.006667	9.823950
100	1	0.000389	8.589567	0.000557	8.745792	0.000119	8.076297
100	2	0.000786	8.895661	0.001162	9.065344	0.000249	8.395376
100	3	0.001193	9.076665	0.001817	9.259436	0.000388	8.589180
100	5	0.002015	9.304336	0.003216	9.507257	0.000689	8.838473
100	10	0.004105	9.613283	0.006969	9.843192	0.001518	9.181268
100	20	0.008276	9.917837	0.014474	10.160576	0.003226	9.508723
100	30	0.012494	10.096688	0.021906	10.340565	0.004961	9.695530
100	100	0.012893	10.110342	0.031992	10.505047	0.007076	9.849788
110	1	0.000389	8.589962	0.000562	8.749649	0.000117	8.067414
110	2	0.000801	8.903781	0.001139	9.056376	0.000242	8.383793
110	3	0.001214	9.084069	0.001778	9.249987	0.000378	8.577138
110	5	0.002045	9.310755	0.003157	9.499262	0.000672	8.827594
110	10	0.004147	9.617692	0.006923	9.840315	0.001500	9.175975
110	20	0.008348	9.921567	0.014462	10.160225	0.003210	9.506564
110	30	0.012604	10.100501	0.021914	10.340715	0.004946	9.694280
110	100	0.014296	10.155202	0.035395	10.548941	0.007842	9.894421
