Teff_kK	M	Te(K)	ne(cm^-3)	O++/H+_CEL	12+log(O++)_CEL	O++/H+_RL	12+log(O++)_RL	ADF_O	C++/H+_CEL	12+log(C++)_CEL	C++/H+_RL	12+log(C++)_RL	ADF_C	N++/H+_CEL	12+log(N++)_CEL	N++/H+_RL	12+log(N++)_RL	ADF_N
50	M1	9852.964392	12652.5	3.491061e-04	8.542957	4.222128e-04	8.625531	1.209411	5.089590e-04	8.706683	7.316862e-04	8.864325	1.437613	1.262457e-04	8.101217	9.192497e-05	7.963433	0.728143
50	M2	8819.007521	12690.8	5.147770e-04	8.711619	6.568746e-04	8.817482	1.276037	8.228132e-04	8.915301	1.154632e-03	9.062443	1.403273	2.012690e-04	8.303777	1.590122e-04	8.201430	0.790048
50	M3	8315.376427	13080.1	6.183892e-04	8.791262	8.677686e-04	8.938404	1.403272	1.086949e-03	9.036209	1.567063e-03	9.195087	1.441708	2.654469e-04	8.423978	2.263227e-04	8.354728	0.852610
50	M5	7618.635870	13440.6	7.840845e-04	8.894363	1.324700e-03	9.122118	1.689487	1.643532e-03	9.215778	2.471096e-03	9.392890	1.503528	3.970487e-04	8.598844	3.217959e-04	8.507580	0.810470
50	M10	6664.080134	14042.5	9.475689e-04	8.976611	2.426582e-03	9.384995	2.560850	3.000841e-03	9.477243	4.738571e-03	9.675647	1.579081	6.947263e-04	8.841814	5.378777e-04	8.730684	0.774230
50	M20	5179.202967	15328.3	6.578050e-04	8.818097	3.504861e-03	9.544671	5.328116	4.768632e-03	9.678394	8.831282e-03	9.946024	1.851953	7.713586e-04	8.887256	9.643405e-04	8.984230	1.250185
50	M30	6814.033467	16406.5	2.199147e-05	7.342254	3.732983e-03	9.572056	169.746842	6.002983e-06	6.778367	1.239993e-02	10.093419	2065.627440	nan	nan	1.218100e-03	9.085683	nan
60	M1	10418.3	9625.762793	3.751381e-04	8.574191	4.493705e-04	8.652605	1.197880	4.932771e-04	8.693091	7.103420e-04	8.851467	1.440046	1.227188e-04	8.088911	9.119799e-05	7.959985	0.743146
60	M2	9319.221589	9787.043604	5.529177e-04	8.742661	6.908337e-04	8.839374	1.249433	7.895921e-04	8.897403	1.139456e-03	9.056698	1.443094	1.967444e-04	8.293902	1.318068e-04	8.119938	0.669939
60	M3	8708.764322	9625.762793	6.838625e-04	8.834969	9.395170e-04	8.972905	1.373839	1.057834e-03	9.024418	1.590084e-03	9.201420	1.503150	2.640378e-04	8.421666	1.854911e-04	8.268323	0.702517
60	M5	7968.221734	9891.080978	8.692401e-04	8.939140	1.439774e-03	9.158294	1.656360	1.541319e-03	9.187893	2.535483e-03	9.404061	1.645009	3.834570e-04	8.583717	2.935561e-04	8.467691	0.765552
60	M10	7161.642652	10133.1	9.591209e-04	8.981873	2.656035e-03	9.424234	2.769239	2.216272e-03	9.345623	4.930690e-03	9.692908	2.224768	5.342791e-04	8.727768	5.500512e-04	8.740403	1.029520
60	M20	6118.451457	11094.4	6.922340e-04	8.840253	4.917092e-03	9.691708	7.103223	3.054640e-03	9.484960	9.849756e-03	9.993425	3.224523	6.900189e-04	8.838861	1.009855e-03	9.004259	1.463518
60	M30	6475.803654	12313.1	5.492541e-05	7.739773	6.258587e-03	9.796476	113.947010	3.247306e-05	7.511523	1.500933e-02	10.176361	462.208759	nan	nan	1.425571e-03	9.153989	nan
70	M1	10729.2	8011.744485	3.832912e-04	8.583529	4.457700e-04	8.649111	1.163006	4.735524e-04	8.675368	6.653550e-04	8.823053	1.405029	1.166852e-04	8.067016	7.781222e-05	7.891048	0.666856
70	M2	9602.163593	8121.409164	5.651206e-04	8.752141	6.939771e-04	8.841345	1.228016	7.650448e-04	8.883687	1.080069e-03	9.033452	1.411773	1.909011e-04	8.280808	1.182760e-04	8.072897	0.619567
70	M3	9077.466528	8121.409164	6.671893e-04	8.824249	9.174530e-04	8.962584	1.375101	9.823350e-04	8.992260	1.471961e-03	9.167896	1.498431	2.493574e-04	8.396822	1.583874e-04	8.199721	0.635183
70	M5	8353.536489	8121.409164	8.239504e-04	8.915901	1.394115e-03	9.144299	1.691990	1.384159e-03	9.141186	2.382270e-03	9.376991	1.721096	3.554307e-04	8.550755	2.390834e-04	8.378549	0.672658
70	M10	7369.398456	8257.484349	9.560053e-04	8.980460	2.726071e-03	9.435537	2.851523	2.057847e-03	9.313413	4.953690e-03	9.694929	2.407220	5.060770e-04	8.704217	5.224056e-04	8.718008	1.032265
70	M20	6512.132951	8601.232012	6.131370e-04	8.787558	5.242610e-03	9.719548	8.550470	1.909861e-03	9.281002	1.027610e-02	10.011828	5.380549	4.063267e-04	8.608875	1.006384e-03	9.002764	2.476786
