Teff_kK	M	Te(K)	ne(cm^-3)	O++/H+_CEL	12+log(O++)_CEL	O++/H+_RL	12+log(O++)_RL	ADF_O	C++/H+_CEL	12+log(C++)_CEL	C++/H+_RL	12+log(C++)_RL	ADF_C	N++/H+_CEL	12+log(N++)_CEL	N++/H+_RL	12+log(N++)_RL	ADF_N
50	M1	9852.964392	12652.5	3.491061e-04	8.542957	4.222128e-04	8.625531	1.209411	5.089590e-04	8.706683	7.316862e-04	8.864325	1.437613	1.262457e-04	8.101217	9.192497e-05	7.963433	0.728143
50	M2	9024.146263	12864.5	5.132887e-04	8.710362	6.403622e-04	8.806426	1.247567	8.094771e-04	8.908205	1.132252e-03	9.053943	1.398745	1.971038e-04	8.294695	1.587385e-04	8.200682	0.805355
50	M3	8478.074718	13040.6	6.756982e-04	8.829753	8.670587e-04	8.938048	1.283204	1.155710e-03	9.062849	1.564005e-03	9.194238	1.353284	2.766853e-04	8.441986	2.259790e-04	8.354068	0.816737
50	M5	7762.726661	12864.5	1.000032e-03	9.000014	1.335785e-03	9.125737	1.335742	1.944973e-03	9.288914	2.460988e-03	9.391110	1.265307	4.467553e-04	8.650070	3.212480e-04	8.506840	0.719069
50	M10	6808.711532	13440.6	1.799459e-03	9.255142	2.414352e-03	9.382801	1.341710	4.430600e-03	9.646463	4.627693e-03	9.665365	1.044485	9.134852e-04	8.960701	5.778955e-04	8.761849	0.632627
50	M20	5953.399833	14042.5	3.366978e-03	9.527240	4.358092e-03	9.639296	1.294363	9.074099e-03	9.957804	8.809951e-03	9.944973	0.970890	1.566701e-03	9.194986	1.047134e-03	9.020002	0.668368
50	M30	5628.964009	14671.3	4.479879e-03	9.651266	6.078074e-03	9.783766	1.356750	9.695162e-03	9.986555	1.292632e-02	10.111475	1.333276	1.987630e-03	9.298335	1.493628e-03	9.174243	0.751462
60	M1	10418.3	9625.762793	3.751381e-04	8.574191	4.493705e-04	8.652605	1.197880	4.932771e-04	8.693091	7.103420e-04	8.851467	1.440046	1.227188e-04	8.088911	9.119799e-05	7.959985	0.743146
60	M2	9511.216995	9698.740120	5.578734e-04	8.746536	6.741182e-04	8.828736	1.208371	7.842433e-04	8.894451	1.116210e-03	9.047746	1.423295	1.941987e-04	8.288246	1.315901e-04	8.119223	0.677605
60	M3	8975.205585	9625.762793	7.192237e-04	8.856864	9.073597e-04	8.957779	1.261582	1.076082e-03	9.031845	1.534644e-03	9.186008	1.426141	2.645276e-04	8.422471	1.850602e-04	8.267313	0.699588
60	M5	8232.885836	9891.080978	1.050679e-03	9.021470	1.410957e-03	9.149514	1.342900	1.741092e-03	9.240822	2.413102e-03	9.382576	1.385971	4.153552e-04	8.618420	3.061048e-04	8.485870	0.736971
60	M10	7171.721840	9996.224281	1.927931e-03	9.285091	2.631384e-03	9.420184	1.364875	3.842963e-03	9.584666	4.671640e-03	9.669469	1.215635	8.267935e-04	8.917397	5.634290e-04	8.750839	0.681463
60	M20	6193.726106	10056.8	3.751201e-03	9.574170	5.000312e-03	9.698997	1.332990	8.359988e-03	9.922206	9.097290e-03	9.958912	1.088194	1.510182e-03	9.179029	1.022566e-03	9.009691	0.677114
60	M30	5778.877042	10163.7	5.219311e-03	9.717613	7.266440e-03	9.861322	1.392222	9.912249e-03	9.996172	1.361156e-02	10.133908	1.373206	1.840192e-03	9.264863	1.503422e-03	9.177081	0.816992
70	M1	10729.2	8011.744485	3.832884e-04	8.583526	4.457700e-04	8.649111	1.163015	4.735524e-04	8.675368	6.653550e-04	8.823053	1.405029	1.166852e-04	8.067016	7.781222e-05	7.891048	0.666856
70	M2	9840.039524	7927.474539	5.604121e-04	8.748508	6.690497e-04	8.825458	1.193853	7.434388e-04	8.871245	1.047988e-03	9.020356	1.409649	1.846418e-04	8.266330	1.180508e-04	8.072069	0.639350
70	M3	9222.592239	8011.744485	7.412739e-04	8.869979	9.170747e-04	8.962405	1.237160	1.044439e-03	9.018883	1.467721e-03	9.166643	1.405271	2.582831e-04	8.412096	1.581885e-04	8.199175	0.612462
70	M5	8387.283148	8121.409164	1.116979e-03	9.048045	1.449026e-03	9.161076	1.297273	1.727538e-03	9.237428	2.374954e-03	9.375655	1.374762	4.170388e-04	8.620176	2.522881e-04	8.401897	0.604951
70	M10	7309.872770	8121.409164	2.024509e-03	9.306320	2.708475e-03	9.432725	1.337843	3.700278e-03	9.568234	4.627352e-03	9.665333	1.250542	8.129215e-04	8.910049	5.223289e-04	8.717944	0.642533
70	M20	6340.026989	8207.740657	3.789716e-03	9.578607	5.123864e-03	9.709598	1.352044	7.933489e-03	9.899464	9.011487e-03	9.954796	1.135879	1.485973e-03	9.172011	9.797542e-04	8.991117	0.659335
70	M30	5875.304959	8121.409164	5.352644e-03	9.728568	7.588085e-03	9.880132	1.417633	9.512613e-03	9.978300	1.369432e-02	10.136540	1.439596	1.835213e-03	9.263686	1.439266e-03	9.158141	0.784250
80	M1	10993	6523.888649	3.876696e-04	8.588462	4.346567e-04	8.638146	1.121204	4.431282e-04	8.646529	6.192350e-04	8.791855	1.397417	1.072701e-04	8.030479	5.544906e-05	7.743894	0.516911
