Teff_kK	M	Te(K)	ne(cm^-3)	O++/H+_CEL	12+log(O++)_CEL	O++/H+_RL	12+log(O++)_RL	ADF_O	C++/H+_CEL	12+log(C++)_CEL	C++/H+_RL	12+log(C++)_RL	ADF_C	N++/H+_CEL	12+log(N++)_CEL	N++/H+_RL	12+log(N++)_RL	ADF_N
50	M1	9857.892616	14671.3	3.477170e-04	8.541226	4.155489e-04	8.618622	1.195078	5.098504e-04	8.707443	7.319946e-04	8.864508	1.435705	1.263345e-04	8.101522	9.195322e-05	7.963567	0.727855
50	M2	8779.681449	13440.6	5.299997e-04	8.724276	6.738467e-04	8.828561	1.271410	8.347277e-04	8.921545	1.181879e-03	9.072573	1.415885	2.071744e-04	8.316336	1.591033e-04	8.201679	0.767968
50	M3	8210.145869	12864.5	6.595243e-04	8.819231	9.160845e-04	8.961936	1.389008	1.128436e-03	9.052477	1.646188e-03	9.216479	1.458823	2.825583e-04	8.451108	2.398595e-04	8.379957	0.848885
50	M5	7400.383540	12313.1	8.883423e-04	8.948580	1.428513e-03	9.154884	1.608066	1.789342e-03	9.252693	2.654438e-03	9.423973	1.483472	4.486772e-04	8.651934	3.489755e-04	8.542795	0.777788
50	M10	6127.828482	13080.1	1.320627e-03	9.120780	2.618714e-03	9.418088	1.982932	4.408124e-03	9.644254	5.158580e-03	9.712530	1.170244	1.044315e-03	9.018832	6.062507e-04	8.782652	0.580525
50	M20	5287.475001	14042.5	5.120461e-04	8.709309	3.438767e-03	9.536403	6.715737	7.966995e-04	8.901295	9.210034e-03	9.964261	11.560235	2.901282e-04	8.462590	1.003215e-03	9.001394	3.457835
50	M30	6784.390134	13738.2	2.310994e-05	7.363799	3.614175e-03	9.558009	156.390495	6.288924e-06	6.798576	1.212413e-02	10.083651	1927.854254	nan	nan	1.190608e-03	9.075769	nan
60	M1	10413.5	11785.4	3.758765e-04	8.575045	4.434595e-04	8.646854	1.179801	4.989085e-04	8.698021	7.104695e-04	8.851545	1.424048	1.240688e-04	8.093662	9.123233e-05	7.960149	0.735337
60	M2	9259.270931	10538.9	5.732532e-04	8.758347	7.082758e-04	8.850202	1.235537	8.115027e-04	8.909290	1.166489e-03	9.066881	1.437443	2.046505e-04	8.311013	1.319113e-04	8.120282	0.644569
60	M3	8649.766567	9787.043604	7.124392e-04	8.852748	9.721008e-04	8.987711	1.364468	1.081507e-03	9.034029	1.643871e-03	9.215868	1.519982	2.772961e-04	8.442944	1.988580e-04	8.298543	0.717132
60	M5	7850.314200	9081.924079	9.328669e-04	8.969820	1.517321e-03	9.181078	1.626514	1.611713e-03	9.207288	2.665326e-03	9.425750	1.653723	4.176765e-04	8.620840	3.204944e-04	8.505820	0.767327
60	M10	6760.261255	8865.052905	1.201739e-03	9.079810	2.896365e-03	9.461853	2.410145	2.768398e-03	9.442228	5.322705e-03	9.726132	1.922666	6.961457e-04	8.842700	5.901351e-04	8.770951	0.847718
60	M20	5335.865667	10334	1.082531e-03	9.034440	5.136610e-03	9.710677	4.745000	4.859361e-03	9.686579	1.036013e-02	10.015365	2.131995	1.431874e-03	9.155905	1.096412e-03	9.039974	0.765718
60	M30	6592.302530	11280.2	4.616497e-05	7.664313	6.045897e-03	9.781461	130.962872	1.166324e-05	7.066819	1.501079e-02	10.176404	1287.017169	nan	nan	1.424532e-03	9.153672	nan
70	M1	10724.8	9891.080978	3.839113e-04	8.584231	4.486607e-04	8.651918	1.168657	4.808421e-04	8.682002	6.751928e-04	8.829428	1.404188	1.187264e-04	8.074547	7.782628e-05	7.891126	0.655510
70	M2	9532.345623	8692.664075	5.870205e-04	8.768653	7.193294e-04	8.856928	1.225391	7.869758e-04	8.895961	1.116542e-03	9.047875	1.418776	1.983832e-04	8.297505	1.315214e-04	8.118996	0.662967
70	M3	8986.432768	7903.560625	7.022506e-04	8.846492	9.567673e-04	8.980806	1.362430	1.013771e-03	9.005940	1.543902e-03	9.188620	1.522929	2.631013e-04	8.420123	1.717006e-04	8.234772	0.652603
70	M5	8070.351517	7541.986519	9.524161e-04	8.978827	1.518683e-03	9.181467	1.594559	1.563872e-03	9.194201	2.604973e-03	9.415803	1.665720	4.117207e-04	8.614603	2.795771e-04	8.446502	0.679045
70	M10	7020.586022	7121.254065	1.154292e-03	9.062316	2.940926e-03	9.468484	2.547818	2.482798e-03	9.394941	5.337902e-03	9.727371	2.149955	6.463157e-04	8.810445	5.753715e-04	8.759948	0.890233
70	M20	5850.019652	7691.555652	8.641541e-04	8.936591	5.540065e-03	9.743515	6.410969	3.021352e-03	9.480201	1.078469e-02	10.032808	3.569490	6.509881e-04	8.813573	1.075683e-03	9.031684	1.652385
70	M30	6282.824171	8865.052905	7.548789e-05	7.877877	7.185677e-03	9.856468	95.189797	3.370517e-05	7.527697	1.627718e-02	10.211579	482.928253	nan	nan	1.518043e-03	9.181284	nan
80	M1	10993	8345.262336	3.874244e-04	8.588187	4.375537e-04	8.641031	1.129391	4.519054e-04	8.655048	6.193513e-04	8.791937	1.370533	1.096648e-04	8.040067	6.915067e-05	7.839796	0.630564
80	M2	9808.874378	7278.953844	5.860912e-04	8.767965	7.067833e-04	8.849286	1.205927	7.415590e-04	8.870146	1.027863e-03	9.011935	1.386084	1.850719e-04	8.267340	1.180597e-04	8.072102	0.637912
80	M3	9024.146263	6816.030264	7.688573e-04	8.885846	9.914360e-04	8.996265	1.289493	1.053360e-03	9.022577	1.507214e-03	9.178175	1.430864	2.672337e-04	8.426891	1.583574e-04	8.199638	0.592580
80	M5	8311.998642	6178.589405	9.409423e-04	8.973563	1.499328e-03	9.175897	1.593433	1.484002e-03	9.171434	2.452738e-03	9.389651	1.652787	3.946631e-04	8.596226	2.388893e-04	8.378197	0.605299
80	M10	7197.769207	5798.770624	1.134953e-03	9.054978	2.954354e-03	9.470463	2.603062	2.314399e-03	9.364438	5.252998e-03	9.720407	2.269703	6.081090e-04	8.783981	5.079273e-04	8.705802	0.835257
80	M20	6208.164168	5720.468902	6.909827e-04	8.839467	5.719558e-03	9.757362	8.277425	1.934657e-03	9.286604	1.104471e-02	10.043154	5.708874	4.100015e-04	8.612785	1.070701e-03	9.029668	2.611457
80	M30	6619.658207	7121.254065	7.484849e-05	7.874183	8.071451e-03	9.906952	107.837193	2.483108e-05	7.394996	1.725407e-02	10.236892	694.857920	nan	nan	1.540010e-03	9.187524	nan
90	M1	11388.5	7773.317754	3.755702e-04	8.574691	4.197939e-04	8.623036	1.117751	4.264912e-04	8.629910	5.938554e-04	8.773681	1.392421	1.015597e-04	8.006721	6.061296e-05	7.782565	0.596821
90	M2	10107.8	6982.774953	5.886530e-04	8.769859	6.968036e-04	8.843110	1.183726	7.186642e-04	8.856526	9.961944e-04	8.998344	1.386175	1.754317e-04	8.244108	1.046357e-04	8.019680	0.596447
