Teff_kK	M	Te(K)	ne(cm^-3)	O++/H+_CEL	12+log(O++)_CEL	O++/H+_RL	12+log(O++)_RL	ADF_O	C++/H+_CEL	12+log(C++)_CEL	C++/H+_RL	12+log(C++)_RL	ADF_C	N++/H+_CEL	12+log(N++)_CEL	N++/H+_RL	12+log(N++)_RL	ADF_N
50	M1	9698.525415	17481.1	3.937992e-04	8.595275	4.653607e-04	8.667790	1.181721	5.204681e-04	8.716394	7.487425e-04	8.874333	1.438595	1.418313e-04	8.151772	1.052957e-04	8.022411	0.742401
50	M2	8819.007521	18360.7	5.498413e-04	8.740237	6.775585e-04	8.830947	1.232280	7.667373e-04	8.884647	1.146707e-03	9.059453	1.495567	2.132167e-04	8.328821	1.592459e-04	8.202068	0.746873
50	M3	8330.853815	18668.3	6.591956e-04	8.819014	8.895712e-04	8.949181	1.349480	9.485547e-04	8.977062	1.541632e-03	9.187981	1.625243	2.722061e-04	8.434898	2.266048e-04	8.355269	0.832475
50	M5	7775.838678	17481.1	7.850408e-04	8.894892	1.329668e-03	9.123743	1.693757	1.202842e-03	9.080209	2.409141e-03	9.381862	2.002874	3.646150e-04	8.561835	3.215821e-04	8.507292	0.881977
50	M10	7139.629841	17481.1	8.231974e-04	8.915504	2.427835e-03	9.385219	2.949275	1.529401e-03	9.184521	4.674116e-03	9.669699	3.056174	4.947144e-04	8.694355	5.646454e-04	8.751776	1.141356
50	M20	6254.709810	18668.3	4.858766e-04	8.686526	4.090260e-03	9.611751	8.418310	4.402322e-03	9.643682	9.452924e-03	9.975566	2.147259	1.531748e-03	9.185187	9.976443e-04	8.998976	0.651311
50	M30	6188.501814	18305.3	5.718670e-05	7.757295	4.534176e-03	9.656498	79.287247	1.140463e-04	8.057081	1.396945e-02	10.145179	122.489326	2.820394e-05	7.450310	1.395816e-03	9.144828	49.490094
60	M1	10245	13440.6	4.162759e-04	8.619381	4.771349e-04	8.678641	1.146199	5.049033e-04	8.703208	7.181031e-04	8.856187	1.422259	1.362374e-04	8.134296	9.147289e-05	7.961292	0.671423
60	M2	9278.099889	13440.6	5.862012e-04	8.768047	7.121687e-04	8.852583	1.214888	7.438459e-04	8.871483	1.120575e-03	9.049441	1.506461	2.073526e-04	8.316709	1.320201e-04	8.120640	0.636694
60	M3	8720.612075	13738.2	7.106477e-04	8.851654	9.473129e-04	8.976493	1.333027	9.470280e-04	8.976363	1.545558e-03	9.189085	1.632008	2.723769e-04	8.435170	1.724666e-04	8.236705	0.633191
60	M5	8118.036170	13440.6	8.478253e-04	8.928306	1.413660e-03	9.150345	1.667395	1.220862e-03	9.086667	2.445637e-03	9.388392	2.003205	3.709111e-04	8.569270	2.801327e-04	8.447364	0.755256
60	M10	7532.809182	14671.3	8.487194e-04	8.928764	2.612563e-03	9.417067	3.078241	1.382634e-03	9.140707	4.778686e-03	9.679308	3.456219	4.516303e-04	8.654783	5.370098e-04	8.729982	1.189047
60	M20	7025.744192	15328.3	5.380001e-04	8.730782	5.053109e-03	9.703559	9.392394	9.449532e-04	8.975410	9.962134e-03	9.998352	10.542463	3.183163e-04	8.502859	1.007985e-03	9.003454	3.166614
60	M30	6888.225298	13738.2	2.001400e-04	8.301334	7.246967e-03	9.860156	36.209490	7.498155e-04	8.874954	1.589825e-02	10.201349	21.202884	2.458715e-04	8.390708	1.491619e-03	9.173658	6.066660
70	M1	10570.9	11400.2	4.217643e-04	8.625070	4.820845e-04	8.683123	1.143019	4.801831e-04	8.681407	6.734479e-04	8.828304	1.402481	1.272690e-04	8.104723	7.801812e-05	7.892195	0.613017
70	M2	9572.798919	10618.8	5.929467e-04	8.773016	7.152700e-04	8.854470	1.206297	7.152173e-04	8.854438	1.060873e-03	9.025663	1.483288	1.971621e-04	8.294823	1.315669e-04	8.119147	0.667303
70	M3	9126.964822	11280.2	6.805986e-04	8.832891	9.182684e-04	8.962970	1.349207	8.789899e-04	8.943984	1.418255e-03	9.151754	1.613506	2.509349e-04	8.399561	1.585153e-04	8.200071	0.631699
70	M5	8482.845470	11280.2	8.098333e-04	8.908396	1.397607e-03	9.145385	1.725796	1.145207e-03	9.058884	2.289308e-03	9.359704	1.999034	3.466203e-04	8.539854	2.391251e-04	8.378625	0.689876
70	M10	7702.310420	11469.3	8.548844e-04	8.931907	2.690400e-03	9.429817	3.147092	1.363188e-03	9.134556	4.776145e-03	9.679077	3.503658	4.460095e-04	8.649344	5.087437e-04	8.706499	1.140657
70	M20	7296.634258	11280.2	4.870218e-04	8.687548	5.244384e-03	9.719695	10.768275	7.935062e-04	8.899550	1.022559e-02	10.009688	12.886589	2.625756e-04	8.419254	9.795881e-04	8.991043	3.730690
70	M30	7227.976191	11661.4	2.389152e-04	8.378244	7.831419e-03	9.893840	32.779071	3.842961e-04	8.584666	1.644330e-02	10.215989	42.788102	1.225698e-04	8.088384	1.449553e-03	9.161234	11.826345
80	M1	10869.2	8771.807604	4.220388e-04	8.625352	4.700001e-04	8.672098	1.113642	4.403900e-04	8.643837	6.180197e-04	8.791002	1.403346	1.142832e-04	8.057983	5.539370e-05	7.743460	0.484705
80	M2	9902.667187	9040.860470	5.816987e-04	8.764698	6.950924e-04	8.842043	1.194935	6.587341e-04	8.818710	9.342074e-04	8.970443	1.418186	1.781640e-04	8.250820	9.179524e-05	7.962820	0.515229
80	M3	9247.702878	8865.052905	7.171970e-04	8.855638	9.426245e-04	8.974339	1.314317	8.773053e-04	8.943151	1.345720e-03	9.128955	1.533925	2.471321e-04	8.392929	1.450262e-04	8.161446	0.586837
80	M5	8677.248949	8692.664075	8.189938e-04	8.913281	1.394797e-03	9.144511	1.703062	1.120259e-03	9.049319	2.149217e-03	9.332280	1.918499	3.352627e-04	8.525385	2.119630e-04	8.326260	0.632230
80	M10	8019.312009	8986.397662	7.915106e-04	8.898457	2.650808e-03	9.423378	3.349049	1.240418e-03	9.093568	4.570575e-03	9.659971	3.684705	4.016203e-04	8.603816	4.399115e-04	8.643365	1.095342
80	M20	7643.200407	9891.080978	4.130212e-04	8.615972	5.326234e-03	9.726420	12.895789	6.381117e-04	8.804897	1.031860e-02	10.013621	16.170517	2.108336e-04	8.323940	9.505984e-04	8.977997	4.508761
80	M30	7580.752306	9654.887598	2.091195e-04	8.320394	8.071272e-03	9.906942	38.596463	2.891608e-04	8.461139	1.689242e-02	10.227692	58.418790	9.423619e-05	7.974218	1.433386e-03	9.156363	15.210570
90	M1	11296	7361.888177	4.074284e-04	8.610051	4.505562e-04	8.653749	1.105854	4.106088e-04	8.613428	5.632564e-04	8.750706	1.371759	1.041864e-04	8.017811	7.010469e-05	7.845747	0.672878
90	M2	10288	7440.145876	5.682841e-04	8.754566	6.735688e-04	8.828382	1.185268	6.182626e-04	8.791173	8.637923e-04	8.936409	1.397128	1.628374e-04	8.211754	8.388983e-05	7.923709	0.515175
90	M3	9598.263103	7278.953844	7.042293e-04	8.847714	9.040585e-04	8.956197	1.283756	8.256856e-04	8.916815	1.242198e-03	9.094191	1.504445	2.261159e-04	8.354331	1.182433e-04	8.072776	0.522932
90	M5	8900.274876	7278.953844	8.366736e-04	8.922556	1.372890e-03	9.137636	1.640891	1.099123e-03	9.041046	2.038200e-03	9.309247	1.854388	3.216891e-04	8.507436	1.981988e-04	8.297101	0.616119
90	M10	8274.028330	7361.888177	7.747584e-04	8.889166	2.576489e-03	9.411028	3.325538	1.149091e-03	9.060354	4.430742e-03	9.646476	3.855868	3.644034e-04	8.561582	3.985918e-04	8.600528	1.093820
90	M20	8240.351043	7903.560625	3.332637e-04	8.522788	5.188828e-03	9.715069	15.569736	4.480399e-04	8.651317	1.032509e-02	10.013894	23.045021	1.414247e-04	8.150525	8.907449e-04	8.949753	6.298369
90	M30	8346.490437	7855.948995	1.544611e-04	8.188819	7.978546e-03	9.901924	51.654081	1.569927e-04	8.195879	1.731148e-02	10.238334	110.269344	4.755292e-05	7.677177	1.381261e-03	9.140276	29.046818
100	M1	11586.4	5976.633149	3.592404e-04	8.555385	3.929614e-04	8.594350	1.093868	3.828137e-04	8.582988	5.261876e-04	8.721141	1.374527	9.644593e-05	7.984284	7.043177e-05	7.847769	0.730272
100	M2	10600.4	6076.772355	5.010678e-04	8.699897	5.748547e-04	8.759558	1.147259	5.571515e-04	8.745973	7.905498e-04	8.897929	1.418914	1.436743e-04	8.157379	7.693037e-05	7.886098	0.535450
